TRIES, LATENCY
3, 44.373
1, 17.118
1, 18.771
1, 13.978
1, 15.003
1, 48.364
1, 21.436
1, 26.526
4, 133.279
1, 13.703
6, 103.32
1, 21.373
1, 13.212
1, 23.285
1, 19.808
1, 13.649
1, 11.593
1, 8.868
1, 12.032
1, 46.199
3, 99.037
1, 40.672
1, 54.159
1, 36.223
1, 29.77
1, 46.589
1, 42.619
6, 167.714
1, 13.832
1, 10.576
1, 51.522
1, 17.575
1, 9.812
1, 29.109
1, 28.403
1, 15.158
1, 11.836
2, 32.429
1, 14.315
1, 16.806
1, 32.553
1, 6.116
6, 98.864
1, 7.612
1, 10.129
1, 11.047
1, 49.855
1, 31.822
1, 13.27
1, 28.18
1, 11.056
1, 15.902
1, 17.933
1, 112.186
1, 10.702
1, 13.959
1, 9.273
1, 16.767
1, 15.657
1, 26.152
1, 9.22
1, 16.825
1, 40.468
1, 19.2
1, 9.559
1, 23.929
6, 190.604
1, 9.867
1, 22.367
1, 18.97
1, 11.147
1, 24.654
1, 18.3
1, 8.396
1, 21.31
1, 11.527
1, 11.967
1, 8.927
1, 7.166
1, 8.165
1, 8.355
1, 12.136
1, 8.867
1, 9.521
2, 39.664
3, 73.393
1, 31.643
1, 26.702
3, 85.836
1, 17.265
1, 30.04
1, 10.513
1, 10.485
1, 13.938
1, 12.388
1, 23.152
1, 9.016
1, 7.159
1, 9.839
2, 21.409
2, 56.912
1, 39.344
1, 10.611
2, 55.621
1, 9.986
1, 24.085
1, 14.903
6, 68.586
1, 12.986
1, 12.999
1, 24.026
1, 18.764
6, 91.134
1, 28.81
1, 21.143
6, 144.292
1, 35.312
1, 42.767
1, 16.746
1, 13.095
2, 33.567
1, 10.42
1, 7.509
6, 80.629
1, 11.82
6, 121.034
2, 65.689
1, 25.895
1, 26.562
1, 12.743
1, 11.821
1, 19.905
1, 27.678
1, 15.691
1, 11.449
1, 11.377
1, 9.8
1, 19.646
6, 78.37
1, 8.365
1, 17.245
5, 148.718
1, 22.179
2, 58.944
1, 11.93
1, 9.859
1, 13.937
1, 37.201
1, 11.311
1, 17.074
1, 10.219
1, 30.472
1, 10.867
1, 14.034
2, 63.296
3, 107.98
1, 18.312
1, 12.092
1, 14.215
1, 20.774
1, 17.848
1, 8.922
1, 14.714
1, 11.538
1, 8.501
2, 67.958
2, 15.291
1, 8.101
1, 38.019
1, 23.336
1, 20.841
2, 162.666
1, 22.158
1, 45.983
3, 110.564
1, 55.152
1, 37.231
6, 165.122
1, 11.644
1, 14.275
1, 15.043
1, 10.922
1, 15.499
1, 25.422
1, 41.863
1, 10.376
1, 10.009
1, 11.773
1, 15.356
1, 21.98
1, 18.884
1, 34.636
1, 39.414
1, 37.086
1, 22.382
1, 16.384
1, 21.915
1, 18.343
1, 36.071
1, 40.979
1, 7.828
1, 16.817
1, 13.716
1, 20.791
1, 11.16
1, 18.84
1, 20.142
1, 5.573
1, 8.921
1, 8.376
1, 10.651
1, 9.677
1, 17.561
2, 33.443
1, 6.805
1, 11.2
2, 30.229
1, 12.8
1, 11.662
1, 10.552
6, 105.184
1, 14.025
4, 48.435
2, 40.757
2, 39.469
1, 15.107
1, 18.278
2, 50.51
2, 39.555
3, 31.781
1, 15.5
1, 37.786
1, 10.279
1, 16.167
1, 12.302
1, 13.59
1, 11.469
1, 8.425
1, 6.182
1, 19.3
1, 11.443
2, 39.593
1, 10.296
1, 36.015
6, 140.301
6, 214.005
2, 42.745
1, 11.125
1, 15.59
6, 144.381
1, 35.288
1, 29.404
1, 10.033
2, 26.422
1, 11.752
1, 9.125
1, 44.686
2, 27.501
1, 16.49
1, 35.317
1, 24.157
1, 10.924
1, 18.33
2, 26.651
3, 53.545
1, 17.588
1, 45.035
1, 28.735
6, 141.89
1, 33.619
6, 180.897
6, 240.71
3, 126.041
6, 205.822
2, 86.781
2, 73.746
1, 22.141
1, 13.028
1, 20.642
1, 13.712
1, 14.41
6, 130.52
1, 10.717
1, 20.002
1, 9.041
1, 19.498
1, 12.499
1, 15.46
1, 23.443
1, 17.492
1, 33.561
3, 120.874
1, 12.295
1, 33.003
1, 31.616
1, 16.897
1, 28.589
1, 39.583
1, 19.932
3, 75.915
1, 12.148
1, 67.891
1, 13.8
1, 16.227
1, 16.142
1, 12.84
1, 8.964
1, 13.243
1, 16.674
1, 9.055
1, 9.226
1, 26.612
1, 12.112
1, 12.304
6, 107.936
1, 25.035
1, 43.382
1, 15.843
1, 41.226
1, 15.512
2, 95.906
1, 25.694
1, 64.327
1, 22.015
1, 43.513
6, 112.848
1, 20.772
1, 13.969
1, 38.763
1, 22.224
1, 28.17
1, 64.642
1, 15.349
1, 21.772
1, 25.537
1, 30.006
1, 55.876
1, 24.398
1, 9.745
1, 12.241
1, 20.798
1, 23.213
1, 29.714
1, 25.125
1, 56.57
6, 136.729
2, 65.063
6, 81.831
6, 145.319
6, 202.16
1, 26.479
1, 25.212
1, 43.33
1, 11.828
1, 10.75
1, 13.165
1, 11.369
1, 11.101
1, 8.792
2, 26.963
6, 100.586
1, 18.348
1, 11.327
1, 14.368
1, 21.602
1, 31.135
1, 21.436
1, 22.76
1, 31.51
1, 10.622
1, 27.591
1, 58.344
2, 74.041
1, 16.791
1, 46.851
1, 14.231
1, 20.078
1, 25.493
1, 14.116
1, 13.43
1, 20.95
1, 14.317
1, 13.347
1, 17.843
1, 11.325
1, 12.085
1, 15.798
1, 10.655
3, 81.262
1, 18.383
1, 21.558
1, 29.909
1, 15.103
1, 64.367
6, 179.284
1, 10.839
1, 23.994
2, 45.464
6, 124.192
1, 55.442
