{1: [3, 44.373]}
{2: [1, 17.118]}
{3: [1, 18.771]}
{4: [1, 13.978]}
{5: [1, 15.003]}
{6: [1, 48.364]}
{7: [1, 21.436]}
{8: [1, 26.526]}
{9: [4, 133.279]}
{10: [1, 13.703]}
{11: [6, 103.32]}
{12: [1, 21.373]}
{13: [1, 13.212]}
{14: [1, 23.285]}
{15: [1, 19.808]}
{16: [1, 13.649]}
{17: [1, 11.593]}
{18: [1, 8.868]}
{19: [1, 12.032]}
{20: [1, 46.199]}
{21: [3, 99.037]}
{22: [1, 40.672]}
{23: [1, 54.159]}
{24: [1, 36.223]}
{25: [1, 29.77]}
{26: [1, 46.589]}
{27: [1, 42.619]}
{28: [6, 167.714]}
{29: [1, 13.832]}
{30: [1, 10.576]}
{31: [1, 51.522]}
{32: [1, 17.575]}
{33: [1, 9.812]}
{34: [1, 29.109]}
{35: [1, 28.403]}
{36: [1, 15.158]}
{37: [1, 11.836]}
{38: [2, 32.429]}
{39: [1, 14.315]}
{40: [1, 16.806]}
{41: [1, 32.553]}
{42: [1, 6.116]}
{43: [6, 98.864]}
{44: [1, 7.612]}
{45: [1, 10.129]}
{46: [1, 11.047]}
{47: [1, 49.855]}
{48: [1, 31.822]}
{49: [1, 13.27]}
{50: [1, 28.18]}
{51: [1, 11.056]}
{52: [1, 15.902]}
{53: [1, 17.933]}
{54: [1, 112.186]}
{55: [1, 10.702]}
{56: [1, 13.959]}
{57: [1, 9.273]}
{58: [1, 16.767]}
{59: [1, 15.657]}
{60: [1, 26.152]}
{61: [1, 9.22]}
{62: [1, 16.825]}
{63: [1, 40.468]}
{64: [1, 19.2]}
{65: [1, 9.559]}
{66: [1, 23.929]}
{67: [6, 190.604]}
{68: [1, 9.867]}
{69: [1, 22.367]}
{70: [1, 18.97]}
{71: [1, 11.147]}
{72: [1, 24.654]}
{73: [1, 18.3]}
{74: [1, 8.396]}
{75: [1, 21.31]}
{76: [1, 11.527]}
{77: [1, 11.967]}
{78: [1, 8.927]}
{79: [1, 7.166]}
{80: [1, 8.165]}
{81: [1, 8.355]}
{82: [1, 12.136]}
{83: [1, 8.867]}
{84: [1, 9.521]}
{85: [2, 39.664]}
{86: [3, 73.393]}
{87: [1, 31.643]}
{88: [1, 26.702]}
{89: [3, 85.836]}
{90: [1, 17.265]}
{91: [1, 30.04]}
{92: [1, 10.513]}
{93: [1, 10.485]}
{94: [1, 13.938]}
{95: [1, 12.388]}
{96: [1, 23.152]}
{97: [1, 9.016]}
{98: [1, 7.159]}
{99: [1, 9.839]}
{100: [2, 21.409]}
{101: [2, 56.912]}
{102: [1, 39.344]}
{103: [1, 10.611]}
{104: [2, 55.621]}
{105: [1, 9.986]}
{106: [1, 24.085]}
{107: [1, 14.903]}
{108: [6, 68.586]}
{109: [1, 12.986]}
{110: [1, 12.999]}
{111: [1, 24.026]}
{112: [1, 18.764]}
{113: [6, 91.134]}
{114: [1, 28.81]}
{115: [1, 21.143]}
{116: [6, 144.292]}
{117: [1, 35.312]}
{118: [1, 42.767]}
{119: [1, 16.746]}
{120: [1, 13.095]}
{121: [2, 33.567]}
{122: [1, 10.42]}
{123: [1, 7.509]}
{124: [6, 80.629]}
{125: [1, 11.82]}
{126: [6, 121.034]}
{127: [2, 65.689]}
{128: [1, 25.895]}
{129: [1, 26.562]}
{130: [1, 12.743]}
{131: [1, 11.821]}
{132: [1, 19.905]}
{133: [1, 27.678]}
{134: [1, 15.691]}
{135: [1, 11.449]}
{136: [1, 11.377]}
{137: [1, 9.8]}
{138: [1, 19.646]}
{139: [6, 78.37]}
{140: [1, 8.365]}
{141: [1, 17.245]}
{142: [5, 148.718]}
{143: [1, 22.179]}
{144: [2, 58.944]}
{145: [1, 11.93]}
{146: [1, 9.859]}
{147: [1, 13.937]}
{148: [1, 37.201]}
{149: [1, 11.311]}
{150: [1, 17.074]}
{151: [1, 10.219]}
{152: [1, 30.472]}
{153: [1, 10.867]}
{154: [1, 14.034]}
{155: [2, 63.296]}
{156: [3, 107.98]}
{157: [1, 18.312]}
{158: [1, 12.092]}
{159: [1, 14.215]}
{160: [1, 20.774]}
{161: [1, 17.848]}
{162: [1, 8.922]}
{163: [1, 14.714]}
{164: [1, 11.538]}
{165: [1, 8.501]}
{166: [2, 67.958]}
{167: [2, 15.291]}
{168: [1, 8.101]}
{169: [1, 38.019]}
{170: [1, 23.336]}
{171: [1, 20.841]}
{172: [2, 162.666]}
{173: [1, 22.158]}
{174: [1, 45.983]}
{175: [3, 110.564]}
{176: [1, 55.152]}
{177: [1, 37.231]}
{178: [6, 165.122]}
{179: [1, 11.644]}
{180: [1, 14.275]}
{181: [1, 15.043]}
{182: [1, 10.922]}
{183: [1, 15.499]}
{184: [1, 25.422]}
{185: [1, 41.863]}
{186: [1, 10.376]}
{187: [1, 10.009]}
{188: [1, 11.773]}
{189: [1, 15.356]}
{190: [1, 21.98]}
{191: [1, 18.884]}
{192: [1, 34.636]}
{193: [1, 39.414]}
{194: [1, 37.086]}
{195: [1, 22.382]}
{196: [1, 16.384]}
{197: [1, 21.915]}
{198: [1, 18.343]}
{199: [1, 36.071]}
{200: [1, 40.979]}
{201: [1, 7.828]}
{202: [1, 16.817]}
{203: [1, 13.716]}
{204: [1, 20.791]}
{205: [1, 11.16]}
{206: [1, 18.84]}
{207: [1, 20.142]}
{208: [1, 5.573]}
{209: [1, 8.921]}
{210: [1, 8.376]}
{211: [1, 10.651]}
{212: [1, 9.677]}
{213: [1, 17.561]}
{214: [2, 33.443]}
{215: [1, 6.805]}
{216: [1, 11.2]}
{217: [2, 30.229]}
{218: [1, 12.8]}
{219: [1, 11.662]}
{220: [1, 10.552]}
{221: [6, 105.184]}
{222: [1, 14.025]}
{223: [4, 48.435]}
{224: [2, 40.757]}
{225: [2, 39.469]}
{226: [1, 15.107]}
{227: [1, 18.278]}
{228: [2, 50.51]}
{229: [2, 39.555]}
{230: [3, 31.781]}
{231: [1, 15.5]}
{232: [1, 37.786]}
{233: [1, 10.279]}
{234: [1, 16.167]}
{235: [1, 12.302]}
{236: [1, 13.59]}
{237: [1, 11.469]}
{238: [1, 8.425]}
{239: [1, 6.182]}
{240: [1, 19.3]}
{241: [1, 11.443]}
{242: [2, 39.593]}
{243: [1, 10.296]}
{244: [1, 36.015]}
{245: [6, 140.301]}
{246: [6, 214.005]}
{247: [2, 42.745]}
{248: [1, 11.125]}
{249: [1, 15.59]}
{250: [6, 144.381]}
{251: [1, 35.288]}
{252: [1, 29.404]}
{253: [1, 10.033]}
{254: [2, 26.422]}
{255: [1, 11.752]}
{256: [1, 9.125]}
{257: [1, 44.686]}
{258: [2, 27.501]}
{259: [1, 16.49]}
{260: [1, 35.317]}
{261: [1, 24.157]}
{262: [1, 10.924]}
{263: [1, 18.33]}
{264: [2, 26.651]}
{265: [3, 53.545]}
{266: [1, 17.588]}
{267: [1, 45.035]}
{268: [1, 28.735]}
{269: [6, 141.89]}
{270: [1, 33.619]}
{271: [6, 180.897]}
{272: [6, 240.71]}
{273: [3, 126.041]}
{274: [6, 205.822]}
{275: [2, 86.781]}
{276: [2, 73.746]}
{277: [1, 22.141]}
{278: [1, 13.028]}
{279: [1, 20.642]}
{280: [1, 13.712]}
{281: [1, 14.41]}
{282: [6, 130.52]}
{283: [1, 10.717]}
{284: [1, 20.002]}
{285: [1, 9.041]}
{286: [1, 19.498]}
{287: [1, 12.499]}
{288: [1, 15.46]}
{289: [1, 23.443]}
{290: [1, 17.492]}
{291: [1, 33.561]}
{292: [3, 120.874]}
{293: [1, 12.295]}
{294: [1, 33.003]}
{295: [1, 31.616]}
{296: [1, 16.897]}
{297: [1, 28.589]}
{298: [1, 39.583]}
{299: [1, 19.932]}
{300: [3, 75.915]}
{301: [1, 12.148]}
{302: [1, 67.891]}
{303: [1, 13.8]}
{304: [1, 16.227]}
{305: [1, 16.142]}
{306: [1, 12.84]}
{307: [1, 8.964]}
{308: [1, 13.243]}
{309: [1, 16.674]}
{310: [1, 9.055]}
{311: [1, 9.226]}
{312: [1, 26.612]}
